"Long","Lat","SiteNum","Name","State","First","Last","PercComp","Elev","Dist","Years","loc","scale","shape","distToGdr","inlandGdr"
150.05,-26.36,"035029","GILIGULGUL","QLD",1925,2016,0.99,318,283.2,91.08,57.5442865606792,22.4406571269952,0.0851381290869321,142.004142593624,TRUE
150.17,-26.07,"035050","LYNWAY","QLD",1909,1988,0.93,272,255.98,74.4,59.0245635627756,20.596180315494,0.100587583956713,130.35798968059,TRUE
153.1,-27.95,"040000","ABBOTSFORD","QLD",1909,1974,0.98,48,31.09,64.68,76.1492536891661,35.0405724509074,-0.0565749145209591,70.2153540102859,FALSE
152.62,-26.37,"040003","AMAMOOR FORESTRY","QLD",1921,2004,0.95,107,45.71,79.8,87.408663419707,32.7446293296104,0.215332565594252,112.182649070125,FALSE
152.71,-27.63,"040004","AMBERLEY AMO","QLD",1941,2016,0.98,24,50.3,74.48,69.9533599068129,28.4840593586163,0.0146430040669004,49.506987023494,FALSE
152.9,-26.8,"040007","BALD KNOB","QLD",1927,1983,0.98,488,23.7,55.86,137.204725654579,48.8569713244653,0.286391728994853,99.993793695935,FALSE
152.08,-26.32,"040010","BARAMBAH","QLD",1896,1953,0.87,335,98.58,50.46,59.6338169841546,19.9672817142096,0.045587729654967,60.5136261477819,FALSE
153.01,-28.02,"040014","BEAUDESERT CRYNA","QLD",1887,2014,0.93,106,41.32,119.04,67.4259036213116,23.0940947628437,0.282098985358347,60.2560717585183,FALSE
153.19,-28.15,"040015","BEECHMONT BINNA BURRA ROAD","QLD",1919,2003,0.96,520,28.41,81.6,103.758275087503,51.2511646649058,-0.0293026219448317,74.144818820162,FALSE
153.18,-27.72,"040016","BEENLEIGH POST OFFICE","QLD",1871,1967,0.91,12,16.86,88.27,94.6954031523617,39.367299428858,0.131522796818241,84.8527624818089,FALSE
152.98,-26.86,"040017","BEERWAH FOREST","QLD",1930,2004,0.96,30,15.24,72,116.284832861463,49.0656686653619,0.164000558886317,101.958139170276,FALSE
152.15,-26.9,"040019","BENARKIN FOREST STATION","QLD",1925,1988,0.95,442,96.1,60.8,66.4861198412041,22.9405673029545,-0.035631168673803,40.3400878230686,FALSE
152.1,-26.89,"040020","BLACKBUTT POST OFFICE","QLD",1900,2016,0.84,445,101.1,98.28,63.6662417194904,20.891484523988,0.130926822144794,39.5306419494843,FALSE
152.69,-27.99,"040024","BOONAH STARK AVE","QLD",1898,2011,0.92,96,71.38,104.88,70.4563132960583,22.3212494668295,0.0895335489649809,30.069945028329,FALSE
152.05,-26.08,"040025","BOONARA","QLD",1886,1981,0.84,274,97.61,80.64,57.5591903139823,19.5357582645639,0.391959202342451,57.6244725139651,FALSE
152.43,-26.19,"040029","WIDGEE STATION HILL","QLD",1936,2005,0.84,127,63.08,58.8,77.5898035463152,25.5063905050669,0.194843071436486,95.5367794199572,FALSE
153.05,-26.69,"040031","BUDERIM POST OFFICE","QLD",1892,1995,0.86,168,7.82,89.44,131.950158924894,50.590927522629,-0.131005441149651,119.27245834713,FALSE
153.01,-27.14,"040035","BURPENGARY ULMANN RD","QLD",1898,2000,0.8,20,8.84,82.4,90.9288306066591,35.360996764756,0.151679574393153,90.0685200087223,FALSE
152.5,-27.15,"040037","CABOONBAH","QLD",1894,1985,0.67,52,55.88,61.64,66.7491087374004,21.7807231805221,-0.0335823357846862,44.5127414695744,FALSE
152.95,-27.09,"040038","CABOOLTURE POST OFFICE","QLD",1870,1999,0.86,4,16.79,111.8,90.0257471013532,39.8210283968259,0.236607692463415,86.5332601914538,FALSE
153.15,-26.8,"040040","CALOUNDRA SIGNAL STATION","QLD",1899,1992,0.69,46,0.9,64.86,99.9238079930028,39.811181333329,0.115767306337443,119.616362170762,FALSE
153.17,-28.01,"040042","CANUNGRA FINCH ROAD","QLD",1915,2016,0.96,100,25.76,97.92,90.5912730494936,42.6111669814312,0.263671803249812,76.0111402478353,FALSE
153.08,-28.25,"040044","DARLINGTON","QLD",1917,1974,0.98,238,41.13,56.84,76.3485001003128,33.1733682296897,0.322263248510714,62.5551034332812,FALSE
152.9,-26.25,"040045","CENTRAL KIN KIN","QLD",1909,1964,0.98,82,16.48,54.88,108.7402665788,46.2546232132115,0.0969398926666553,142.325547950073,FALSE
152.72,-26.73,"040051","CONONDALE TOWNSHIP","QLD",1933,2016,0.79,140,39.14,66.36,77.789128708345,29.7518340155421,0.358798812782472,91.9933514144984,FALSE
152.9,-26.55,"040053","COOLOOLABIN FORESTRY","QLD",1928,1976,0.97,159,17.68,47.53,122.513615097122,51.3289376002605,0.0740853831598985,118.626210243834,FALSE
152.9,-26.55,"040054","ROCKY VALE","QLD",1915,1972,0.97,150,17.68,56.26,120.157277844295,49.9326146685614,0.102199014098006,118.626210243834,FALSE
152.5,-27.39,"040056","COOMINYA POST OFFICE","QLD",1916,2015,0.96,81,57.87,96,62.1649348370202,19.187856601616,0.209131921322721,34.8650784684562,FALSE
152.91,-26.18,"040057","COMO","QLD",1937,2012,0.97,108,15.61,73.72,110.610246790544,53.8324810851639,0.0577067211721499,143.486438367512,FALSE
152.82,-26.33,"040058","COORAN POST OFFICE","QLD",1892,1990,0.97,77,27.15,96.03,86.5344311432022,38.9947252436467,0.15384027791892,130.372943630977,FALSE
152.91,-26.42,"040059","COOROY COMPOSITE","QLD",1893,2012,0.97,110,16.58,116.4,108.881969693403,49.431993817234,0.081262804215364,129.077504014328,FALSE
151.83,-26.98,"040060","COOYAR POST OFFICE","QLD",1895,2015,0.88,436,124.53,106.48,55.8965157542611,19.2065971613127,0.092200020271421,12.9862871977953,FALSE
152.87,-26.81,"040062","CROHAMHURST","QLD",1892,2004,0.91,200,26.57,102.83,118.677268198283,52.3576368717646,0.137382408763877,97.0393231204167,FALSE
152.82,-27.2,"040063","DAYBORO POST OFFICE","QLD",1931,2012,0.96,68,23.85,78.72,89.7450382119351,37.9463544635491,0.239142492464672,70.1037536952783,FALSE
153.03,-26.65,"040065","DIDDILLIBAH","QLD",1914,1966,0.88,6,7.05,46.64,108.916735951613,42.4889803397171,0.124887122764197,120.829064084901,FALSE
152.83,-27.6,"040066","DINMORE POST OFFICE","QLD",1894,1979,0.83,76,39.22,71.38,80.0856469690042,29.5995569002297,0.0430833962087477,60.6042815053778,FALSE
151.19,-26.38,"040071","LANARK","QLD",1940,2016,0.93,365,186.84,71.61,56.1880620343582,14.9221439030392,0.240949266788305,28.2979870510274,TRUE
153.35,-27.97,"040074","ERNEST JUNCTION RAIL STN","QLD",1899,1961,0.9,22,7.54,56.7,119.114965625651,41.7877158551691,0.182069439239177,94.1010745019314,FALSE
152.42,-27.24,"040075","ESK POST OFFICE","QLD",1886,2016,0.98,119,63.45,128.38,67.5913776575766,24.5453388523306,0.0906458851687356,32.212048442079,FALSE
152.17,-27.15,"040076","ESK DALE WEST","QLD",1933,1989,0.95,501,88.43,54.15,65.947754727893,25.4095085655628,-0.137516535843148,20.8532252048094,FALSE
152.95,-26.48,"040078","EUMUNDI - CRESCENT RD","QLD",1898,2016,0.91,93,11.05,108.29,115.923914449065,44.7977367219557,0.16808247023714,127.470769197189,FALSE
152.38,-27.58,"040079","FOREST HILL","QLD",1894,2016,0.97,112,74.98,119.31,62.1462880125713,21.4441616248289,0.0502732547016772,30.6078663831792,FALSE
153.02,-28.26,"040080","GLEN CAIRN","QLD",1923,2004,0.81,200,47.08,66.42,71.0778000057709,28.7217388224326,0.207950478390989,56.6891098096757,FALSE
152.34,-27.54,"040082","UNIVERSITY OF QUEENSLAND GATTON","QLD",1897,2016,0.99,89,77.12,118.8,62.3769861866079,19.4780472698389,0.18515082698734,24.7141972183851,FALSE
152.28,-27.54,"040083","GATTON ALLAN STREET","QLD",1894,2016,0.98,114,82.76,120.54,63.0659398020333,21.058547091823,0.130546426920452,20.5038561203588,FALSE
